language,Content type New site,URL Category OLD site,New site taxonomy: Jewish Agency Vocabulary (Main Category),article type,News type,NewsTags,P2GSchoolCurriculumLessonPlanEnrichment/Lesson Plan,P2GedTypeOfResource,P2GedBaskets,P2GedTag,P2GSchoolAudiences,P2GSchoolLengthOfActivity,P2GSchoolContent,P2GedJewishMonths,years,number of pages,URL Category OLD site
English,Article,/Festivals+and+Memorial+Days/Pesach/Exodus+Simulation+Game,Exodus Simulation Game,educational materials,,,,,,,,,,,,8,Festivals+and+Memorial+Days/Pesach/Exodus+Simulation+Game
English,Article,/Festivals+and+Memorial+Days/Pesach/hagadat+nehama,Nechama Leibowitz Haggadah,educational materials,,,,,,,,,,,,8,Festivals+and+Memorial+Days/Pesach/hagadat+nehama
English,Article,/Festivals+and+Memorial+Days/Pesach/haggadot,Haggadah,educational materials,,,,,,,,,,,,5,Festivals+and+Memorial+Days/Pesach/haggadot
English,Article,/Festivals+and+Memorial+Days/Mimouna,Mimouna,educational materials,,,,,,,,,,,,5,Festivals+and+Memorial+Days/Mimouna
English,Article,/Festivals+and+Memorial+Days/Holocaust+Memorial+Day,Holocaust Memorial Day,educational materials,,,,,,,,,,,,,Festivals+and+Memorial+Days/Holocaust+Memorial+Day/
English,Article,/Festivals+and+Memorial+Days/Holocaust+Memorial+Day/Meanings,Meanings,educational materials,,,,,,,,,,,,13,Festivals+and+Memorial+Days/Holocaust+Memorial+Day/Meanings
English,Article,/Festivals+and+Memorial+Days/Holocaust+Memorial+Day/Revolt,Revolt,educational materials,,,,,,,,,,,,22,Festivals+and+Memorial+Days/Holocaust+Memorial+Day/Revolt
English,Article,/Festivals+and+Memorial+Days/Holocaust+Memorial+Day/limitations,Sensitivity,educational materials,,,,,,,,,,,,7,Festivals+and+Memorial+Days/Holocaust+Memorial+Day/limitations
English,Article,/Festivals+and+Memorial+Days/Jerusalem+Day,Jerusalem Day,educational materials,,,,,,,,,,,,21,Festivals+and+Memorial+Days/Jerusalem+Day
English,Article,/Festivals+and+Memorial+Days/Jerusalem+Day/Activities,Jerusalem Day,educational materials,,,,,,,,,,,,17,Festivals+and+Memorial+Days/Jerusalem+Day/Activities
English,Article,/Festivals+and+Memorial+Days/Jerusalem+Day/Jerusalem+3000,Jerusalem,educational materials,,,,,,,,,,,,12,Festivals+and+Memorial+Days/Jerusalem+Day/Jerusalem+3000
English,Article,/Festivals+and+Memorial+Days/Remembrance+Day,Remembrance Day,educational materials,,,,,,,,,,,,22,Festivals+and+Memorial+Days/Remembrance+Day
English,Article,/Festivals+and+Memorial+Days/Independence+Day,Independence Day,educational materials,,,,,,,,,,,,20,Festivals+and+Memorial+Days/Independence+Day
